timestamp;value;is_anomaly
10;0.006103396;0
20;0.068004593;0
30;0.028381482;0
40;0.243394226;0
50;0.186807767;0
60;0.297377139;0
70;0.297377139;0
80;0.359297007;0
90;0.474033505;0
100;0.535387695;0
110;0.553943396;0
120;0.74304086;0
130;0.78711611;0
140;0.737885892;0
150;0.748793066;0
160;0.808855414;0
170;0.831478715;0
180;0.870129704;0
190;0.895700216;0
200;0.918543816;0
210;0.938095272;0
220;1.01790154;0
230;0.913263977;0
240;0.979195416;0
250;1.039697289;0
260;1.069315791;0
270;0.853537917;0
280;0.964379609;0
290;0.92566061;0
300;0.960269988;0
310;0.978674293;0
320;0.798710048;0
330;0.852030158;0
340;0.774074316;0
350;0.722308815;0
360;0.722308815;0
370;0.637735724;0
380;0.621623933;0
390;0.712890089;0
400;0.706116199;0
410;0.633640051;0
420;0.520495057;0
430;0.442571938;0
440;0.359200358;0
450;0.309184939;0
460;0.274406463;0
470;0.274406463;0
480;0.149869353;0
490;0.102019221;0
500;0.102019221;0
510;0.03450853;0
520;-0.111470431;0
530;-0.134327084;0
540;-0.211039722;0
550;-0.211039722;0
560;-0.302337021;0
570;-0.39137122;0
580;-0.411398053;0
590;-0.411398053;0
600;-0.563837945;0
610;-0.563837945;0
620;-0.614207983;0
630;-0.628545046;0
640;-0.680976748;0
650;-0.747075319;0
660;-0.747075319;0
670;-0.754167438;0
680;-0.834254682;0
690;-0.866973281;0
700;-0.963659883;0
710;-0.867649317;0
720;-0.867702603;0
730;-0.994292438;0
740;-0.929319739;0
750;-0.999325752;0
760;-1.147174597;0
770;-0.956054509;0
780;-1.02557528;0
790;-0.962806404;0
800;-1.00438273;0
810;-0.934313655;0
820;-0.919288814;0
830;-0.967724204;0
840;-0.792730093;0
850;-0.908805132;0
860;-0.795232177;0
870;-0.780580282;0
880;-0.664145768;0
890;-0.725520432;0
900;-0.641795754;0
910;-0.579016507;0
920;-0.565910697;0
930;-0.494139373;0
940;-0.429190159;0
950;-0.234469071;0
960;-0.273338675;0
970;-0.248643339;0
980;-0.080410019;0
990;-0.124853007;0
1000;0.023562029;0
1010;0.036512677;0
1020;0.099182345;0
1030;0.166036621;0
1040;0.244459748;0
1050;0.261547357;0
1060;0.355745792;0
1070;0.396935433;0
1080;0.437355578;0
1090;0.493897825;0
1100;0.539758086;0
1110;0.575856805;0
1120;0.676490128;0
1130;0.668452263;0
1140;0.817634821;0
1150;0.87650615;0
1160;0.777525663;0
1170;0.891269684;0
1180;0.971177995;0
1190;0.867266715;0
1200;0.986416519;0
1210;1.006392717;0
1220;0.930358231;0
